year,from_country,to_country,points
2015,Albania,Australia,3
2015,Albania,Latvia,0
2015,Albania,Estonia,4
2015,Albania,Norway,0
2015,Albania,Israel,5
2015,Albania,Serbia,2
2015,Albania,Georgia,0
2015,Albania,Azerbaijan,0
2015,Albania,Montenegro,6
2015,Albania,Slovenia,0
2015,Albania,Romania,0
2015,Albania,Armenia,0
2015,Albania,Albania,0
2015,Albania,Lithuania,0
2015,Albania,Greece,10
2015,Albania,Hungary,0
2015,Albania,Spain,0
2015,Albania,Cyprus,0
2015,Albania,Poland,0
2015,Albania,United Kingdom,0
2015,Albania,France,0
2015,Albania,Austria,0
2015,Albania,Germany,0
2016,Albania,Ukraine,6
2016,Albania,Australia,24
2016,Albania,Russia,14
2016,Albania,Bulgaria,12
2016,Albania,Sweden,3
2016,Albania,France,10
2016,Albania,Armenia,2
2016,Albania,Poland,5
2016,Albania,Lithuania,4
2016,Albania,Belgium,0
2016,Albania,Netherlands,0
2016,Albania,Malta,2
2016,Albania,Austria,0
2016,Albania,Israel,3
2016,Albania,Latvia,0
2016,Albania,Italy,18
2016,Albania,Azerbaijan,0
2016,Albania,Serbia,0
2016,Albania,Hungary,2
2016,Albania,Georgia,0
2016,Albania,Cyprus,0
2016,Albania,Spain,6
2016,Albania,Croatia,0
2016,Albania,United Kingdom,5
2016,Albania,Czech Republic,0
2016,Albania,Germany,0
2017,Albania,Portugal,14
2017,Albania,Bulgaria,20
2017,Albania,Moldova,0
2017,Albania,Belgium,5
2017,Albania,Sweden,2
2017,Albania,Italy,24
2017,Albania,Romania,7
2017,Albania,Hungary,6
2017,Albania,Australia,4
2017,Albania,Norway,0
2017,Albania,Netherlands,0
2017,Albania,France,6
2017,Albania,Croatia,7
2017,Albania,Azerbaijan,2
2017,Albania,United Kingdom,8
2017,Albania,Austria,0
2017,Albania,Belarus,0
2017,Albania,Armenia,7
2017,Albania,Greece,4
2017,Albania,Denmark,0
2017,Albania,Cyprus,0
2017,Albania,Poland,0
2017,Albania,Israel,0
2017,Albania,Ukraine,0
2017,Albania,Germany,0
2017,Albania,Spain,0
2018,Albania,Israel,6
2018,Albania,Cyprus,20
2018,Albania,Austria,2
2018,Albania,Germany,14
2018,Albania,Italy,24
2018,Albania,Czech Republic,1
2018,Albania,Sweden,4
2018,Albania,Estonia,4
2018,Albania,Denmark,0
2018,Albania,Moldova,2
2018,Albania,Albania,0
2018,Albania,Lithuania,0
2018,Albania,France,12
2018,Albania,Bulgaria,14
2018,Albania,Norway,0
2018,Albania,Republic of Ireland,7
2018,Albania,Ukraine,0
2018,Albania,Netherlands,0
2018,Albania,Serbia,3
2018,Albania,Australia,0
2018,Albania,Hungary,0
2018,Albania,Slovenia,0
2018,Albania,Spain,0
2018,Albania,United Kingdom,3
2018,Albania,Finland,0
2018,Albania,Portugal,0
2019,Albania,Netherlands,7
2019,Albania,Italy,13
2019,Albania,Russia,13
2019,Albania,Switzerland,14
2019,Albania,Sweden,6
2019,Albania,Norway,5
2019,Albania,North Macedonia,18
2019,Albania,Azerbaijan,11
2019,Albania,Australia,3
2019,Albania,Iceland,0
2019,Albania,Czech Republic,0
2019,Albania,Denmark,0
2019,Albania,Cyprus,7
2019,Albania,Malta,0
2019,Albania,Slovenia,0
2019,Albania,France,3
2019,Albania,Albania,0
2019,Albania,Serbia,0
2019,Albania,San Marino,10
2019,Albania,Estonia,0
2019,Albania,Greece,6
2019,Albania,Spain,0
2019,Albania,Israel,0
2019,Albania,Belarus,0
2019,Albania,Germany,0
2019,Albania,United Kingdom,0
2021,Albania,Italy,14
2021,Albania,France,16
2021,Albania,Switzerland,24
2021,Albania,Iceland,0
2021,Albania,Ukraine,4
2021,Albania,Finland,6
2021,Albania,Malta,8
2021,Albania,Lithuania,0
2021,Albania,Russia,0
2021,Albania,Greece,14
2021,Albania,Bulgaria,5
2021,Albania,Portugal,0
2021,Albania,Moldova,7
2021,Albania,Sweden,1
2021,Albania,Serbia,1
2021,Albania,Cyprus,9
2021,Albania,Israel,0
2021,Albania,Norway,0
2021,Albania,Belgium,0
2021,Albania,Azerbaijan,2
2021,Albania,Albania,0
2021,Albania,San Marino,5
2021,Albania,Netherlands,0
2021,Albania,Spain,0
2021,Albania,Germany,0
2021,Albania,United Kingdom,0
2022,Albania,Ukraine,17
2022,Albania,United Kingdom,14
2022,Albania,Spain,12
2022,Albania,Sweden,8
2022,Albania,Serbia,3
2022,Albania,Italy,20
2022,Albania,Moldova,1
2022,Albania,Greece,12
2022,Albania,Portugal,1
2022,Albania,Norway,0
2022,Albania,Netherlands,12
2022,Albania,Poland,0
2022,Albania,Estonia,5
2022,Albania,Lithuania,0
2022,Albania,Australia,0
2022,Albania,Azerbaijan,3
2022,Albania,Switzerland,0
2022,Albania,Romania,0
2022,Albania,Belgium,2
2022,Albania,Armenia,4
2022,Albania,Finland,2
2022,Albania,Czech Republic,0
2022,Albania,Iceland,0
2022,Albania,France,0
2022,Albania,Germany,0
2023,Albania,Sweden,22
2023,Albania,Finland,6
2023,Albania,Israel,11
2023,Albania,Italy,14
2023,Albania,Norway,4
2023,Albania,Ukraine,0
2023,Albania,Belgium,5
2023,Albania,Estonia,8
2023,Albania,Australia,3
2023,Albania,Czech Republic,0
2023,Albania,Lithuania,0
2023,Albania,Cyprus,11
2023,Albania,Croatia,8
2023,Albania,Armenia,10
2023,Albania,Austria,0
2023,Albania,France,3
2023,Albania,Spain,1
2023,Albania,Moldova,0
2023,Albania,Poland,1
2023,Albania,Switzerland,7
2023,Albania,Slovenia,2
2023,Albania,Albania,0
2023,Albania,Portugal,0
2023,Albania,Serbia,0
2023,Albania,United Kingdom,0
2023,Albania,Germany,0
2009,Armenia,Norway,8
2009,Armenia,Iceland,5
2009,Armenia,Azerbaijan,1
2009,Armenia,Turkey,4
2009,Armenia,United Kingdom,7
2009,Armenia,Estonia,0
2009,Armenia,Greece,10
2009,Armenia,France,6
2009,Armenia,Bosnia and Herzegovina,0
2009,Armenia,Armenia,0
2009,Armenia,Russia,12
2009,Armenia,Ukraine,3
2009,Armenia,Denmark,0
2009,Armenia,Moldova,2
2009,Armenia,Portugal,0
2009,Armenia,Israel,0
2009,Armenia,Albania,0
2009,Armenia,Croatia,0
2009,Armenia,Romania,0
2009,Armenia,Germany,0
2009,Armenia,Sweden,0
2009,Armenia,Malta,0
2009,Armenia,Lithuania,0
2009,Armenia,Spain,0
2009,Armenia,Finland,0
2010,Armenia,Germany,0
2010,Armenia,Turkey,0
2010,Armenia,Romania,1
2010,Armenia,Denmark,5
2010,Armenia,Azerbaijan,0
2010,Armenia,Belgium,0
2010,Armenia,Armenia,0
2010,Armenia,Greece,3
2010,Armenia,Georgia,12
2010,Armenia,Ukraine,8
2010,Armenia,Russia,10
2010,Armenia,France,6
2010,Armenia,Serbia,0
2010,Armenia,Israel,0
2010,Armenia,Spain,7
2010,Armenia,Albania,0
2010,Armenia,Bosnia and Herzegovina,0
2010,Armenia,Portugal,4
2010,Armenia,Iceland,0
2010,Armenia,Norway,2
2010,Armenia,Cyprus,0
2010,Armenia,Moldova,0
2010,Armenia,Republic of Ireland,0
2010,Armenia,Belarus,0
2010,Armenia,United Kingdom,0
2011,Armenia,Azerbaijan,0
2011,Armenia,Italy,6
2011,Armenia,Sweden,4
2011,Armenia,Ukraine,12
2011,Armenia,Denmark,0
2011,Armenia,Bosnia and Herzegovina,0
2011,Armenia,Greece,7
2011,Armenia,Republic of Ireland,0
2011,Armenia,Georgia,10
2011,Armenia,Germany,0
2011,Armenia,United Kingdom,2
2011,Armenia,Moldova,0
2011,Armenia,Slovenia,0
2011,Armenia,Serbia,1
2011,Armenia,France,5
2011,Armenia,Russia,8
2011,Armenia,Romania,0
2011,Armenia,Austria,3
2011,Armenia,Lithuania,0
2011,Armenia,Iceland,0
2011,Armenia,Finland,0
2011,Armenia,Hungary,0
2011,Armenia,Spain,0
2011,Armenia,Estonia,0
2011,Armenia,Switzerland,0
2013,Armenia,Denmark,4
2013,Armenia,Azerbaijan,0
2013,Armenia,Ukraine,12
2013,Armenia,Norway,3
2013,Armenia,Russia,7
2013,Armenia,Greece,8
2013,Armenia,Italy,1
2013,Armenia,Malta,6
2013,Armenia,Netherlands,0
2013,Armenia,Hungary,0
2013,Armenia,Moldova,0
2013,Armenia,Belgium,0
2013,Armenia,Romania,0
2013,Armenia,Sweden,0
2013,Armenia,Georgia,10
2013,Armenia,Belarus,5
2013,Armenia,Iceland,0
2013,Armenia,Armenia,0
2013,Armenia,United Kingdom,0
2013,Armenia,Estonia,0
2013,Armenia,Germany,0
2013,Armenia,Lithuania,0
2013,Armenia,France,2
2013,Armenia,Finland,0
2013,Armenia,Spain,0
2013,Armenia,Republic of Ireland,0
2014,Armenia,Austria,0
2014,Armenia,Netherlands,4
2014,Armenia,Sweden,0
2014,Armenia,Armenia,0
2014,Armenia,Hungary,0
2014,Armenia,Ukraine,0
2014,Armenia,Russia,10
2014,Armenia,Norway,0
2014,Armenia,Denmark,1
2014,Armenia,Spain,2
2014,Armenia,Finland,0
2014,Armenia,Romania,0
2014,Armenia,Switzerland,5
2014,Armenia,Poland,0
2014,Armenia,Iceland,0
2014,Armenia,Belarus,8
2014,Armenia,United Kingdom,0
2014,Armenia,Germany,6
2014,Armenia,Montenegro,12
2014,Armenia,Greece,7
2014,Armenia,Italy,0
2014,Armenia,Azerbaijan,0
2014,Armenia,Malta,0
2014,Armenia,San Marino,3
2014,Armenia,Slovenia,0
2014,Armenia,France,0
2015,Armenia,Sweden,7
2015,Armenia,Russia,12
2015,Armenia,Italy,6
2015,Armenia,Belgium,4
2015,Armenia,Australia,1
2015,Armenia,Latvia,2
2015,Armenia,Estonia,0
2015,Armenia,Norway,0
2015,Armenia,Israel,0
2015,Armenia,Serbia,0
2015,Armenia,Georgia,10
2015,Armenia,Azerbaijan,0
2015,Armenia,Montenegro,8
2015,Armenia,Slovenia,0
2015,Armenia,Romania,0
2015,Armenia,Armenia,0
2015,Armenia,Albania,0
2015,Armenia,Lithuania,0
2015,Armenia,Greece,5
2015,Armenia,Hungary,0
2015,Armenia,Spain,0
2015,Armenia,Cyprus,0
2015,Armenia,Poland,0
2015,Armenia,United Kingdom,0
2015,Armenia,France,3
2015,Armenia,Austria,0
2015,Armenia,Germany,0
2016,Armenia,Ukraine,10
2016,Armenia,Australia,5
2016,Armenia,Russia,14
2016,Armenia,Bulgaria,7
2016,Armenia,Sweden,2
2016,Armenia,France,19
2016,Armenia,Armenia,0
2016,Armenia,Poland,1
2016,Armenia,Lithuania,0
2016,Armenia,Belgium,4
2016,Armenia,Netherlands,0
2016,Armenia,Malta,13
2016,Armenia,Austria,4
2016,Armenia,Israel,0
2016,Armenia,Latvia,0
2016,Armenia,Italy,0
2016,Armenia,Azerbaijan,0
2016,Armenia,Serbia,0
2016,Armenia,Hungary,3
2016,Armenia,Georgia,18
2016,Armenia,Cyprus,12
2016,Armenia,Spain,3
2016,Armenia,Croatia,0
2016,Armenia,United Kingdom,0
2016,Armenia,Czech Republic,1
2016,Armenia,Germany,0
2017,Armenia,Portugal,22
2017,Armenia,Bulgaria,7
2017,Armenia,Moldova,14
2017,Armenia,Belgium,5
2017,Armenia,Sweden,9
2017,Armenia,Italy,6
2017,Armenia,Romania,2
2017,Armenia,Hungary,0
2017,Armenia,Australia,0
2017,Armenia,Norway,5
2017,Armenia,Netherlands,0
2017,Armenia,France,11
2017,Armenia,Croatia,0
2017,Armenia,Azerbaijan,0
2017,Armenia,United Kingdom,4
2017,Armenia,Austria,1
2017,Armenia,Belarus,0
2017,Armenia,Armenia,0
2017,Armenia,Greece,11
2017,Armenia,Denmark,0
2017,Armenia,Cyprus,19
2017,Armenia,Poland,0
2017,Armenia,Israel,0
2017,Armenia,Ukraine,0
2017,Armenia,Germany,0
2017,Armenia,Spain,0
2018,Armenia,Israel,18
2018,Armenia,Cyprus,19
2018,Armenia,Austria,7
2018,Armenia,Germany,5
2018,Armenia,Italy,3
2018,Armenia,Czech Republic,14
2018,Armenia,Sweden,12
2018,Armenia,Estonia,2
2018,Armenia,Denmark,0
2018,Armenia,Moldova,11
2018,Armenia,Albania,0
2018,Armenia,Lithuania,0
2018,Armenia,France,9
2018,Armenia,Bulgaria,0
2018,Armenia,Norway,7
2018,Armenia,Republic of Ireland,0
2018,Armenia,Ukraine,4
2018,Armenia,Netherlands,3
2018,Armenia,Serbia,0
2018,Armenia,Australia,2
2018,Armenia,Hungary,0
2018,Armenia,Slovenia,0
2018,Armenia,Spain,0
2018,Armenia,United Kingdom,0
2018,Armenia,Finland,0
2018,Armenia,Portugal,0
2019,Armenia,Netherlands,16
2019,Armenia,Italy,15
2019,Armenia,Russia,17
2019,Armenia,Switzerland,15
2019,Armenia,Sweden,14
2019,Armenia,Norway,5
2019,Armenia,North Macedonia,10
2019,Armenia,Azerbaijan,0
2019,Armenia,Australia,1
2019,Armenia,Iceland,3
2019,Armenia,Czech Republic,3
2019,Armenia,Denmark,0
2019,Armenia,Cyprus,0
2019,Armenia,Malta,10
2019,Armenia,Slovenia,0
2019,Armenia,France,4
2019,Armenia,Albania,0
2019,Armenia,Serbia,0
2019,Armenia,San Marino,0
2019,Armenia,Estonia,0
2019,Armenia,Greece,0
2019,Armenia,Spain,0
2019,Armenia,Israel,0
2019,Armenia,Belarus,1
2019,Armenia,Germany,0
2019,Armenia,United Kingdom,2
2022,Armenia,Ukraine,16
2022,Armenia,United Kingdom,1
2022,Armenia,Spain,20
2022,Armenia,Sweden,12
2022,Armenia,Serbia,6
2022,Armenia,Italy,10
2022,Armenia,Moldova,6
2022,Armenia,Greece,5
2022,Armenia,Portugal,12
2022,Armenia,Norway,0
2022,Armenia,Netherlands,4
2022,Armenia,Poland,0
2022,Armenia,Estonia,15
2022,Armenia,Lithuania,2
2022,Armenia,Australia,0
2022,Armenia,Azerbaijan,0
2022,Armenia,Switzerland,0
2022,Armenia,Romania,0
2022,Armenia,Belgium,0
2022,Armenia,Armenia,0
2022,Armenia,Finland,0
2022,Armenia,Czech Republic,0
2022,Armenia,Iceland,0
2022,Armenia,France,7
2022,Armenia,Germany,0
2023,Armenia,Sweden,17
2023,Armenia,Finland,14
2023,Armenia,Israel,24
2023,Armenia,Italy,3
2023,Armenia,Norway,8
2023,Armenia,Ukraine,4
2023,Armenia,Belgium,0
2023,Armenia,Estonia,0
2023,Armenia,Australia,0
2023,Armenia,Czech Republic,0
2023,Armenia,Lithuania,0
2023,Armenia,Cyprus,13
2023,Armenia,Croatia,0
2023,Armenia,Armenia,0
2023,Armenia,Austria,2
2023,Armenia,France,17
2023,Armenia,Spain,6
2023,Armenia,Moldova,0
2023,Armenia,Poland,6
2023,Armenia,Switzerland,2
2023,Armenia,Slovenia,0
2023,Armenia,Albania,0
2023,Armenia,Portugal,0
2023,Armenia,Serbia,0
2023,Armenia,United Kingdom,0
2023,Armenia,Germany,0
2011,Austria,Azerbaijan,8
2011,Austria,Italy,6
2011,Austria,Sweden,0
2011,Austria,Ukraine,0
2011,Austria,Denmark,0
2011,Austria,Bosnia and Herzegovina,12
2011,Austria,Greece,0
2011,Austria,Republic of Ireland,4
2011,Austria,Georgia,0
2011,Austria,Germany,10
2011,Austria,United Kingdom,0
2011,Austria,Moldova,5
2011,Austria,Slovenia,3
2011,Austria,Serbia,7
2011,Austria,France,0
2011,Austria,Russia,0
2011,Austria,Romania,1
2011,Austria,Austria,0
2011,Austria,Lithuania,0
2011,Austria,Iceland,0
2011,Austria,Finland,0
2011,Austria,Hungary,2
2011,Austria,Spain,0
2011,Austria,Estonia,0
2011,Austria,Switzerland,0
2012,Austria,Sweden,12
2012,Austria,Russia,5
2012,Austria,Serbia,10
2012,Austria,Azerbaijan,0
2012,Austria,Albania,8
2012,Austria,Estonia,0
2012,Austria,Turkey,3
2012,Austria,Germany,4
2012,Austria,Italy,0
2012,Austria,Spain,6
2012,Austria,Moldova,1
2012,Austria,Romania,0
2012,Austria,North Macedonia,0
2012,Austria,Lithuania,0
2012,Austria,Ukraine,0
2012,Austria,Cyprus,0
2012,Austria,Greece,0
2012,Austria,Bosnia and Herzegovina,7
2012,Austria,Republic of Ireland,0
2012,Austria,Iceland,0
2012,Austria,Malta,0
2012,Austria,France,2
2012,Austria,Denmark,0
2012,Austria,Hungary,0
2012,Austria,United Kingdom,0
2012,Austria,Norway,0
2013,Austria,Denmark,5
2013,Austria,Azerbaijan,12
2013,Austria,Ukraine,1
2013,Austria,Norway,0
2013,Austria,Russia,0
2013,Austria,Greece,7
2013,Austria,Italy,10
2013,Austria,Malta,0
2013,Austria,Netherlands,8
2013,Austria,Hungary,0
2013,Austria,Moldova,2
2013,Austria,Belgium,3
2013,Austria,Romania,4
2013,Austria,Sweden,0
2013,Austria,Georgia,0
2013,Austria,Belarus,0
2013,Austria,Iceland,0
2013,Austria,Armenia,0
2013,Austria,United Kingdom,0
2013,Austria,Estonia,0
2013,Austria,Germany,6
2013,Austria,Lithuania,0
2013,Austria,France,0
2013,Austria,Finland,0
2013,Austria,Spain,0
2013,Austria,Republic of Ireland,0
2014,Austria,Austria,0
2014,Austria,Netherlands,10
2014,Austria,Sweden,6
2014,Austria,Armenia,12
2014,Austria,Hungary,7
2014,Austria,Ukraine,5
2014,Austria,Russia,0
2014,Austria,Norway,1
2014,Austria,Denmark,0
2014,Austria,Spain,0
2014,Austria,Finland,4
2014,Austria,Romania,8
2014,Austria,Switzerland,3
2014,Austria,Poland,0
2014,Austria,Iceland,2
2014,Austria,Belarus,0
2014,Austria,United Kingdom,0
2014,Austria,Germany,0
2014,Austria,Montenegro,0
2014,Austria,Greece,0
2014,Austria,Italy,0
2014,Austria,Azerbaijan,0
2014,Austria,Malta,0
2014,Austria,San Marino,0
2014,Austria,Slovenia,0
2014,Austria,France,0
2015,Austria,Sweden,7
2015,Austria,Russia,8
2015,Austria,Italy,10
2015,Austria,Belgium,5
2015,Austria,Australia,12
2015,Austria,Latvia,1
2015,Austria,Estonia,6
2015,Austria,Norway,4
2015,Austria,Israel,2
2015,Austria,Serbia,3
2015,Austria,Georgia,0
2015,Austria,Azerbaijan,0
2015,Austria,Montenegro,0
2015,Austria,Slovenia,0
2015,Austria,Romania,0
2015,Austria,Armenia,0
2015,Austria,Albania,0
2015,Austria,Lithuania,0
2015,Austria,Greece,0
2015,Austria,Hungary,0
2015,Austria,Spain,0
2015,Austria,Cyprus,0
2015,Austria,Poland,0
2015,Austria,United Kingdom,0
2015,Austria,France,0
2015,Austria,Austria,0
2015,Austria,Germany,0
2016,Austria,Ukraine,10
2016,Austria,Australia,15
2016,Austria,Russia,11
2016,Austria,Bulgaria,5
2016,Austria,Sweden,15
2016,Austria,France,8
2016,Austria,Armenia,2
2016,Austria,Poland,12
2016,Austria,Lithuania,1
2016,Austria,Belgium,5
2016,Austria,Netherlands,6
2016,Austria,Malta,10
2016,Austria,Austria,0
2016,Austria,Israel,0
2016,Austria,Latvia,0
2016,Austria,Italy,0
2016,Austria,Azerbaijan,0
2016,Austria,Serbia,4
2016,Austria,Hungary,0
2016,Austria,Georgia,0
2016,Austria,Cyprus,0
2016,Austria,Spain,0
2016,Austria,Croatia,6
2016,Austria,United Kingdom,0
2016,Austria,Czech Republic,4
2016,Austria,Germany,2
2017,Austria,Portugal,20
2017,Austria,Bulgaria,17
2017,Austria,Moldova,3
2017,Austria,Belgium,10
2017,Austria,Sweden,5
2017,Austria,Italy,12
2017,Austria,Romania,10
2017,Austria,Hungary,10
2017,Austria,Australia,0
2017,Austria,Norway,3
2017,Austria,Netherlands,12
2017,Austria,France,0
2017,Austria,Croatia,4
2017,Austria,Azerbaijan,0
2017,Austria,United Kingdom,1
2017,Austria,Austria,0
2017,Austria,Belarus,7
2017,Austria,Armenia,0
2017,Austria,Greece,0
2017,Austria,Denmark,0
2017,Austria,Cyprus,0
2017,Austria,Poland,2
2017,Austria,Israel,0
2017,Austria,Ukraine,0
2017,Austria,Germany,0
2017,Austria,Spain,0
2018,Austria,Israel,19
2018,Austria,Cyprus,1
2018,Austria,Austria,0
2018,Austria,Germany,16
2018,Austria,Italy,10
2018,Austria,Czech Republic,15
2018,Austria,Sweden,8
2018,Austria,Estonia,2
2018,Austria,Denmark,5
2018,Austria,Moldova,0
2018,Austria,Albania,9
2018,Austria,Lithuania,0
2018,Austria,France,0
2018,Austria,Bulgaria,6
2018,Austria,Norway,0
2018,Austria,Republic of Ireland,8
2018,Austria,Ukraine,0
2018,Austria,Netherlands,1
2018,Austria,Serbia,8
2018,Austria,Australia,0
2018,Austria,Hungary,3
2018,Austria,Slovenia,5
2018,Austria,Spain,0
2018,Austria,United Kingdom,0
2018,Austria,Finland,0
2018,Austria,Portugal,0
2019,Austria,Netherlands,15
2019,Austria,Italy,17
2019,Austria,Russia,5
2019,Austria,Switzerland,22
2019,Austria,Sweden,6
2019,Austria,Norway,9
2019,Austria,North Macedonia,12
2019,Austria,Azerbaijan,5
2019,Austria,Australia,3
2019,Austria,Iceland,6
2019,Austria,Czech Republic,3
2019,Austria,Denmark,0
2019,Austria,Cyprus,0
2019,Austria,Malta,0
2019,Austria,Slovenia,2
2019,Austria,France,5
2019,Austria,Albania,0
2019,Austria,Serbia,6
2019,Austria,San Marino,0
2019,Austria,Estonia,0
2019,Austria,Greece,0
2019,Austria,Spain,0
2019,Austria,Israel,0
2019,Austria,Belarus,0
2019,Austria,Germany,0
2019,Austria,United Kingdom,0
2021,Austria,Italy,14
2021,Austria,France,14
2021,Austria,Switzerland,15
2021,Austria,Iceland,22
2021,Austria,Ukraine,7
2021,Austria,Finland,5
2021,Austria,Malta,6
2021,Austria,Lithuania,3
2021,Austria,Russia,0
2021,Austria,Greece,0
2021,Austria,Bulgaria,5
2021,Austria,Portugal,7
2021,Austria,Moldova,0
2021,Austria,Sweden,0
2021,Austria,Serbia,12
2021,Austria,Cyprus,0
2021,Austria,Israel,0
2021,Austria,Norway,1
2021,Austria,Belgium,0
2021,Austria,Azerbaijan,0
2021,Austria,Albania,0
2021,Austria,San Marino,0
2021,Austria,Netherlands,3
2021,Austria,Spain,0
2021,Austria,Germany,2
2021,Austria,United Kingdom,0
2022,Austria,Ukraine,12
2022,Austria,United Kingdom,20
2022,Austria,Spain,3
2022,Austria,Sweden,13
2022,Austria,Serbia,10
2022,Austria,Italy,6
2022,Austria,Moldova,7
2022,Austria,Greece,4
2022,Austria,Portugal,10
2022,Austria,Norway,10
2022,Austria,Netherlands,8
2022,Austria,Poland,4
2022,Austria,Estonia,0
2022,Austria,Lithuania,0
2022,Austria,Australia,0
2022,Austria,Azerbaijan,0
2022,Austria,Switzerland,1
